MN,N_e
0.9849340866290022, 5.014492753623189
1.0903954802259888, 5.0434782608695645
1.24105461393597, 5.101449275362318
1.4067796610169492, 5.130434782608695
1.542372881355932, 5.159420289855072
1.6854990583804144, 5.159420289855072
1.8286252354048966, 5.188405797101449
1.9642184557438793, 5.246376811594203
2.1148775894538607, 5.304347826086955
2.273069679849341, 5.362318840579709
2.416195856873823, 5.420289855072465
2.6045197740112993, 5.507246376811594
2.822975517890772, 5.6521739130434785
3.0188323917137474, 5.710144927536231
3.1845574387947266, 5.797101449275361
3.3728813559322033, 5.884057971014492
3.5386064030131825, 5.971014492753623
3.7193973634651596, 6.115942028985508
3.892655367231638, 6.115942028985508
4.080979284369114, 6.260869565217391
4.239171374764595, 6.260869565217391
4.412429378531073, 6.376811594202897
4.563088512241055, 6.434782608695652
4.706214689265536, 6.521739130434783
4.887005649717514, 6.579710144927537
5.037664783427495, 6.579710144927537
5.195856873822976, 6.637681159420289
5.32391713747646, 6.695652173913043
5.467043314500941, 6.753623188405797
5.610169491525424, 6.753623188405797
5.738229755178908, 6.811594202898549
5.881355932203389, 6.869565217391303
6.0018832391713755, 6.898550724637682
6.092278719397363, 6.898550724637682
6.212806026365348, 6.9275362318840585
