MN,N_mu
0.9896907216494847, 7.13930348258706
1.0824742268041239, 7.13930348258706
1.213917525773196, 7.13930348258706
1.329896907216495, 7.13930348258706
1.4845360824742269, 7.13930348258706
1.6391752577319587, 7.13930348258706
1.8092783505154642, 7.238805970149251
1.9871134020618557, 7.338308457711442
2.1649484536082473, 7.487562189054724
2.365979381443299, 7.587064676616915
2.582474226804124, 7.78606965174129
2.7757731958762886, 7.985074626865668
2.9536082474226806, 8.184079601990046
3.1469072164948457, 8.333333333333332
3.3556701030927836, 8.582089552238806
3.5798969072164946, 8.781094527363184
3.7422680412371134, 8.930348258706466
3.927835051546392, 9.129353233830845
4.105670103092783, 9.278606965174127
4.260309278350515, 9.328358208955219
4.445876288659794, 9.5273631840796
4.646907216494846, 9.626865671641788
4.840206185567011, 9.776119402985074
5.041237113402063, 9.875621890547261
5.22680412371134, 9.875621890547261
5.381443298969072, 10.07462686567164
5.543814432989691, 10.07462686567164
5.729381443298969, 10.174129353233827
5.845360824742269, 10.273631840796018
5.992268041237113, 10.323383084577113
6.100515463917526, 10.373134328358205
